CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,49.0,34,14.0
2,Male,42.0,79,74.0
3,Male,44.0,28,98.0
4,Female,47.0,127,77.0
5,Female,46.0,120,67.0
6,Female,47.0,28,56.0
7,Male,51.0,65,43.0
8,Male,42.0,44,49.0
9,Male,24.0,18,44.0
10,Male,34.0,28.0,69.0
11,Male,18.0,23,23.0
12,Female,45.0,28,82.0
13,Female,35.0,28,43.0
14,Male,24.0,16,16.0
15,Male,51.0,34,56.0
16,Male,31.0,21,67.0
17, Male,18.0,40,52.0
18,FEMALE,60.0,30,31.0
19,Male,31.0,20,92.0
20,Male,47.0,33,62.0
21,Female,59.0,51,46.0
22,Male,57.0,41,35.0
23,male,46.0,98,46.0
24,Female,45.0,59,62.0
25,Male,61.0,69,77.0
26,Female,,18,44.0
27,Male,43.0,27,38.0
28,Female,50.0,36,6.0
29,Male,34.0,67,91.0
30,Male,31.0,31,53.0
31,Male,39.0,27,93.0
32,Male,32.0,39,53.0
33,Female,24.0,21,49.0
34,Female,55.0,26,57.0
35,Female,49.0,63,41.0
36,Male,42.0,29,44.0
37,Female,42.0,33,45.0
38,Male,50.0,22,36.0
39,Female,48.0,22,60.0
40,Male,41.0,54,77.0
41,Male,36.0,19,68.0
42,Female,29.0,29,70.0
43,Female,51.0,15,47.0
44,Female,66.0,44,37.0
45,Female ,37.0,44,52.0
46,Male,21.0,16$,24.0
47,Male,35.0,56,69.0
48,Male,41.0,112,92.0
49,Male,30.0,19,72.0
50,Female,30.0,48,94.0
51,Female,47.0,40,89.0
52,Male,34.0,18,50.0
53,Male,41.0,51,71.0
54,Male,30.0,16.0,62.0
55,Male ,49.0,29,38.0
56,Female,52.0,22,32.0
57,Female,33.0,25,78.0
58,Male,,32,71.0
59,Female,36.0,26,58.0
60,Female,36.0,41,66.0
61,Male,30.0,,49.0
62,Male,41.0,19,57.0
63,Female,24.0,19,50.0
64,Female,33.0,35,97.0
65,Male,19.0,18,49.0
66,Male,28.0,26,67.0
67,Male,20.0,27,55.0
68,Male,45.0,56,81.0
69,Female,51.0,21,52.0
70,Female,63.0,61,55.0
71,Female,24.0,41,27.0
72,Female,40.0,18,70.0
73,Female,37.0,18,47.0
74,Female,18.0,85,46.0
75,Male,18.0,45,63.0
76,Female,47.0,39,37.0
77,Male,57.0,39,41.0
78,Female,44.0,34,57.0
79,Female,18.0,82,43.0
80,Male,62.0,23,44.0
81,Male,66.0,21,55.0
82,Male,34.0,,82.0
83,Male,58.0,19,72.0
84,Female,26.0,27,82.0
85,Male,44.0,44,72.0
86,Male,18.0,39,50.0
87,Female,45.0,17,79.0
88,Female,34.0,40,26.0
89,Female,42.0,23,70.0
90,F,40.0,79,57.0
91,Female,18.0,25,60.0
92,Male,34.0,83,83.0
93,Female,24.0,29,46.0
94,Male,24.0,104,76.0
95,Female,29.0,17,70.0
96,Female,33.0,21,55.0
97,Female,50.0,16,61.0
98,Female,51.0,72,62.0
99,Male,40.0,30,68.0
100,Male,31.0,62,86.0
101,Female,59.0,87,54.0
102,Female,41.0,40.0,82.0
103,Male,28.0,61,69.0
104,Male,43.0,58,64.0
105,Male,36.0,55,60.0
106,Male,33.0,32,57.0
107,Male,25.0,138,100.0
108,Male,48.0,32,44.0
109,Female,36.0,19,97.0
110,Male,43.0,20,71.0
111,Female,18.0,18,47.0
112,Female,33.0,23,55.0
113,Female,20.0,59,58.0
114,Female,50.0,41,70.0
115,Female,51.0,102,66.0
116,Male,33.0,72,38.0
117,Male,35.0,67,81.0
118,Female,19.0,44,75.0
119,Female,30.0,25,71.0
120,Male,30.0,28,70.0
121,Male,42.0,150,100.0
122,Female,58.0,25$,41.0
123,Male,21.0,24.0,29.0
124,Female,60.0,56,55.0
125,Male,27.0,69,64.0
126,Male,24.0,61,47.0
127,Male,27.0,15,60.0
128,Male,48.0,42,54.0
129,MALE,34.0,21,56.0
130,Female,49.0,15,41.0
131,Male,19.0,19,55.0
132,Female,23.0,33,32.0
133,Female,47.0,15,53.0
134,Male,50.0,32,44.0
135,Female,20.0,16,38.0
136,Male,70.0,18,44.0
137,Male,35.0,18,80.0
138,Male,44.0,15.0,40.0
139,Female,21.0,30,50.0
140,Female,40.0,100,63.0
141,Female,69.0,30,40.0
142,Female,29.0,47,80.0
143,Female,30.0,36,78.0
144,Female,18.0,28,40.0
145,Male,40.0,44,47.0
146,Female,55.0,65,44.0
147,Male,42.0,17,73.0
148,Female,51.0,29,71.0
149,Female,45.0,42,67.0
150,Male,47.0,80,62.0
151,Female,18.0,35,26.0
152,Female,42.0,15,64.0
153,Male,58.0,27,55.0
154,Female,64.0,33,23.0
155,Male,32.0,23,52.0
156,Female,47.0,54,56.0
157,Male,43.0,23,79.0
158,Male,37.0,37,66.0
159,Male,18.0,51,45.0
160,Male,42.0,26,54.0
161,Female,29.0,65,100.0
162,Male,46.0,27,46.0
163,Male,39.0,38,74.0
164,Male,34.0,18,84.0
165,Male,18.0,27,32.0
